Time,avg(T)
0.5,298
1,298.02
1.5,298.03
2,298.05
2.5,298.08
3,298.11
3.5,298.14
4,298.18
4.5,298.22
5,298.26
5.5,298.31
6,298.35
6.5,298.4
7,298.45
7.5,298.51
8,298.56
8.5,298.62
9,298.68
9.5,298.74
10,298.81
10.5,298.88
11,298.95
11.5,299.03
12,299.1
12.5,299.19
13,299.27
13.5,299.36
14,299.45
14.5,299.55
15,299.64
15.5,299.74
16,299.84
16.5,299.95
17,300.05
17.5,300.16
18,300.27
18.5,300.39
19,300.5
19.5,300.62
20,300.74
20.5,300.86
21,300.99
21.5,301.12
22,301.24
22.5,301.37
23,301.5
23.5,301.63
24,301.76
24.5,301.9
25,302.03
25.5,302.16
26,302.3
26.5,302.43
27,302.57
27.5,302.71
28,302.84
28.5,302.98
29,303.12
29.5,303.27
30,303.41
30.5,303.55
31,303.69
31.5,303.83
32,303.97
32.5,304.12
33,304.26
33.5,304.41
34,304.55
34.5,304.7
35,304.84
35.5,304.99
36,305.14
36.5,305.29
37,305.44
37.5,305.59
38,305.74
38.5,305.88
39,306.03
39.5,306.18
40,306.33
40.5,306.48
41,306.63
41.5,306.78
42,306.93
42.5,307.08
43,307.23
43.5,307.38
44,307.53
44.5,307.68
45,307.83
45.5,307.98
46,308.13
46.5,308.28
47,308.43
47.5,308.58
48,308.73
48.5,308.88
49,309.03
49.5,309.18
50,309.33
50.5,309.48
51,309.63
51.5,309.78
52,309.92
52.5,310.07
53,310.22
53.5,310.37
54,310.51
54.5,310.66
55,310.81
55.5,310.96
56,311.11
56.5,311.26
57,311.41
57.5,311.55
58,311.7
58.5,311.85
59,312
59.5,312.15
60,312.3
60.5,312.45
61,312.6
61.5,312.75
62,312.9
62.5,313.04
63,313.19
63.5,313.34
64,313.49
64.5,313.63
65,313.78
65.5,313.93
66,314.07
66.5,314.22
67,314.37
67.5,314.52
68,314.67
68.5,314.81
69,314.96
69.5,315.11
70,315.26
70.5,315.41
71,315.55
71.5,315.7
72,315.85
72.5,315.99
73,316.14
73.5,316.29
74,316.43
74.5,316.58
75,316.73
75.5,316.87
76,317.02
76.5,317.17
77,317.32
77.5,317.46
78,317.61
78.5,317.76
79,317.91
79.5,318.06
80,318.2
80.5,318.35
81,318.49
81.5,318.64
82,318.78
82.5,318.93
83,319.08
83.5,319.22
84,319.37
84.5,319.51
85,319.66
85.5,319.8
86,319.95
86.5,320.1
87,320.24
87.5,320.39
88,320.53
88.5,320.68
89,320.82
89.5,320.97
90,321.11
90.5,321.26
91,321.41
91.5,321.55
92,321.7
92.5,321.85
93,321.99
93.5,322.14
94,322.29
94.5,322.43
95,322.58
95.5,322.72
96,322.87
96.5,323.01
97,323.15
97.5,323.3
98,323.44
98.5,323.59
99,323.73
99.5,323.87
100,324.02
100.5,324.16
101,324.31
101.5,324.45
102,324.6
102.5,324.74
103,324.89
103.5,325.03
104,325.17
104.5,325.32
105,325.46
105.5,325.6
106,325.75
106.5,325.89
107,326.04
107.5,326.18
108,326.33
108.5,326.47
109,326.61
109.5,326.76
110,326.9
110.5,327.05
111,327.19
111.5,327.34
112,327.48
112.5,327.62
113,327.77
113.5,327.91
114,328.05
114.5,328.19
115,328.34
115.5,328.48
116,328.62
116.5,328.76
117,328.91
117.5,329.05
118,329.19
118.5,329.34
119,329.48
119.5,329.62
120,329.76
120.5,329.91
121,330.05
121.5,330.19
122,330.33
122.5,330.47
123,330.61
123.5,330.75
124,330.89
124.5,331.03
125,331.17
125.5,331.31
126,331.45
126.5,331.6
127,331.74
127.5,331.88
128,332.02
128.5,332.16
129,332.31
129.5,332.45
130,332.59
130.5,332.73
131,332.87
131.5,333.01
132,333.15
132.5,333.29
133,333.43
133.5,333.57
134,333.71
134.5,333.86
135,334
135.5,334.14
136,334.28
136.5,334.42
137,334.56
137.5,334.7
138,334.84
138.5,334.98
139,335.12
139.5,335.26
140,335.4
140.5,335.54
141,335.68
141.5,335.82
142,335.97
142.5,336.11
143,336.25
143.5,336.39
144,336.53
144.5,336.67
145,336.81
145.5,336.95
146,337.09
146.5,337.23
147,337.37
147.5,337.51
148,337.65
148.5,337.79
149,337.93
149.5,338.07
150,338.21
150.5,338.35
151,338.49
151.5,338.63
152,338.77
152.5,338.91
153,339.05
153.5,339.19
154,339.33
154.5,339.47
155,339.61
155.5,339.75
156,339.88
156.5,340.02
157,340.16
157.5,340.3
158,340.44
158.5,340.58
159,340.72
159.5,340.86
160,341
160.5,341.13
161,341.27
161.5,341.41
162,341.55
162.5,341.69
163,341.83
163.5,341.97
164,342.11
164.5,342.25
165,342.39
165.5,342.53
166,342.67
166.5,342.8
167,342.94
167.5,343.08
168,343.22
168.5,343.35
169,343.49
169.5,343.63
170,343.77
170.5,343.9
171,344.04
171.5,344.18
172,344.32
172.5,344.45
173,344.59
173.5,344.73
174,344.86
174.5,345
175,345.14
175.5,345.28
176,345.41
176.5,345.55
177,345.69
177.5,345.83
178,345.96
178.5,346.1
179,346.24
179.5,346.38
180,346.51
180.5,346.65
181,346.78
181.5,346.92
182,347.06
182.5,347.19
183,347.33
183.5,347.47
184,347.6
184.5,347.74
185,347.88
185.5,348.01
186,348.15
186.5,348.29
187,348.42
187.5,348.56
188,348.7
188.5,348.83
189,348.97
189.5,349.1
190,349.24
190.5,349.38
191,349.51
191.5,349.65
192,349.78
192.5,349.92
193,350.06
193.5,350.19
194,350.33
194.5,350.47
195,350.6
195.5,350.74
196,350.88
196.5,351.01
197,351.15
197.5,351.28
198,351.42
198.5,351.56
199,351.69
199.5,351.83
200,351.96
200.5,352.1
201,352.23
201.5,352.37
202,352.5
202.5,352.64
203,352.77
203.5,352.91
204,353.04
204.5,353.17
205,353.31
205.5,353.44
206,353.58
206.5,353.72
207,353.85
207.5,353.99
208,354.12
208.5,354.26
209,354.39
209.5,354.52
210,354.66
